idx,n_cells,coverage_fraction,rouleaux_fraction,n_isolated,crenation_fraction,median_area,area_cv
280,4779,0.5938190051020408,0.13559322033898305,887,0.030439684329199548,346.0,9.988444266099485
281,5750,0.5574977040816327,0.1443478260869565,1154,0.016464471403812825,330.0,11.62024465587987
282,4645,0.6125880102040816,0.122497308934338,968,0.01652892561983471,314.0,7.39461981683385
283,4371,0.6108252551020408,0.12216884008236102,1012,0.02865612648221344,300.0,12.166992189968449
284,4214,0.6392774234693878,0.12505932605600378,910,0.023076923076923078,304.0,16.16041223665671
285,4102,0.6143163265306123,0.10726474890297416,1150,0.030434782608695653,267.0,28.033461254236688
286,3487,0.6690191326530612,0.10438772583882994,817,0.025703794369645042,274.0,13.905404347534617
287,3483,0.6896998724489796,0.09273614699971289,957,0.01567398119122257,254.0,16.55927924299717
288,3363,0.684289668367347,0.09753196550698781,942,0.03184713375796178,246.0,18.783658755651032
289,5491,0.5701196428571429,0.1464214168639592,1091,0.04307974335472044,288.0,9.391662973661985
290,6489,0.551986224489796,0.16859300354445986,1200,0.03666666666666667,287.0,9.879431097662755
291,5846,0.5671081632653061,0.15874101950051317,1133,0.037069726390114736,293.0,6.849956412669162
292,4507,0.6264984693877551,0.14577324162414024,981,0.03669724770642202,277.0,19.032697167253136
293,5739,0.5687588010204082,0.15298832549224603,1164,0.02663230240549828,313.0,8.251786749542402
294,6069,0.5595547193877551,0.1606524962926347,1122,0.024955436720142603,314.0,6.491616893207312
